"A","adjective"
"C","conjunction"
"D","adverb"
"I","interjection"
"N","noun"
"P","preposition"
"RA","definite article"
"RD","demonstrative pronoun"
"RI","interrogative/indefinite pronoun"
"RP","personal pronoun"
"RR","relative pronoun"
"V","verb"
"X","particle"
